flight_id,callsign,aircraft_reg,aircraft_type,aircraft_address,adep,ades,ssr_codes,period_start,period_finish,source_ids
038da04a-92a6-4155-b9df-5ded10e260a7,NLY8C,HBJOX,A321,0x4B1947,LEPA,LSZH,['5574' '5571'],2017-08-04T19:09:02Z,2017-08-04T20:50:48Z,['0xe5ac808' 390110]
049f203c-b4f7-40b7-bc56-9bcd69d9c835,EZY19DU,GEZFH,A319,0x405F10,EGKK,LSZH,['5672' '2251'],2017-08-04T17:17:12Z,2017-08-04T18:48:57Z,['0xe5a73c5' 381311]
04a4d6b9-831a-4434-8fa6-15dd8035fe90,EDW267,HBIJU,A320,0x4B161E,LEIB,LSZH,['1052'],2017-08-04T19:07:14Z,2017-08-04T20:53:33Z,[384135 '0xe5ac9c8']
04dc3e7e-ec04-4e47-b338-1ad592c5f0e8,SWR155N,HBJLR,A320,0x4B18F3,LYBE,LSZH,['0000' '7355' '1000' '7360'],2017-08-04T12:58:06Z,2017-08-04T14:36:51Z,['0xe59a620' 375747]
04ed2f8a-b399-4193-9017-4e4d90c5f8af,SWR170X,HBJLR,A320,0x4B18F3,EDDH,LSZH,['1112'],2017-08-04T18:36:45Z,2017-08-04T19:45:46Z,['0xe5ab11a' 384693]
051834cf-bf73-48f8-a02a-0894267e2df1,OAW105,HBJVL,E190,0x4B19F1,BKPR,LSZH,['0000' '4174' '7313' '3045' '1000'],2017-08-04T09:47:26Z,2017-08-04T12:05:13Z,['0xe593552']
05471c6e-addd-4a56-95e1-dd580ffb4ce1,ICE568,TFISP,B763,0x4CC27E,BIKF,LSZH,['0000' '3173' '2206' '2000' '2042' '1000'],2017-08-04T07:48:13Z,2017-08-04T11:13:47Z,['0xe58fdfb' 374649]
05eec941-6005-4dfc-ae12-93a49d979e75,SWR1175,NA,NA,0x440779,EDDS,LSZH,['0124'],2017-08-04T17:36:25Z,2017-08-04T18:04:00Z,[379063]
05f9b754-bddc-42f5-a113-bd0109e7eccd,MGMKM,NA,NA,0x43E9F3,VRMM,LSZH,['4734' '7351' '1000'],2017-08-04T01:50:46Z,2017-08-04T04:22:32Z,[356980]
06324a03-74ff-4410-afd9-a5a3876b66db,AUA569,OELDC,A319,0x4400C3,LOWW,LSZH,['1000' '2000'],2017-08-04T11:02:14Z,2017-08-04T12:14:44Z,['0xe594bc4' 366308]
06477e38-0c43-40c0-b80b-e4d598adbd6d,SWR207U,NA,NA,NA,LEMD,LSZH,['5351'],2017-08-04T08:28:33Z,2017-08-04T10:16:12Z,[368218]
0679a0de-42c5-4565-b46d-dd80efa6e887,EDW25,HBJMF,A343,0x4B1901,MMUN,LSZH,['0000' '1000'],2017-08-04T08:45:52Z,2017-08-04T10:29:39Z,['0xe58340b' 367487]
08004eb0-b172-4bc8-9ab0-5424dc591818,SWR2561,HBJBE,BCS1,0x4B17E2,EICK,LSZH,['0000' '2032' '2000'],2017-08-04T13:17:50Z,2017-08-04T15:35:43Z,['0xe59b4af' 375555]
08251d7e-572b-4fb2-9548-ef26db9fb78e,VLG7979,ECMBE,A320,0x3444D1,LKPR,LSZH,['1000'],2017-08-04T07:21:53Z,2017-08-04T08:35:21Z,['0xe58f19d']
0833f47e-eb53-4063-8ded-32db147c725c,SWR137L,HBJBB,BCS1,0x4B17DF,EPWA,LSZH,['2000' '6521' '1000'],2017-08-04T12:16:10Z,2017-08-04T15:15:44Z,['0xe598633' 375610]
0852037c-4c88-45f4-88e0-19a1921285ed,EDW15J,HBJMG,A343,0x4B1902,CYYC,LSZH,['2025' '' '2020'],2017-08-04T06:22:37Z,2017-08-04T08:56:02Z,[363967 '0xe58070a']
088a0efb-e996-43ba-a91d-12ce58a625d0,GSW9607,HBJOI,A321,0x4B1938,BKPR,LSZH,['0000' '1307' '7343' '1000'],2017-08-04T02:21:18Z,2017-08-04T04:17:18Z,['0xe586cfa' 360334]
097862c1-f951-44ed-a3fc-f8c7bd30d189,LZB491,LZSOF,E190,0x451D85,LBSF,LSZH,['0000' '6546' '1000'],2017-08-04T06:19:36Z,2017-08-04T08:27:50Z,['0xe58d837' 360279]
097b47ea-9a37-4938-8cef-49e0da75f64f,PTFKY,NA,NA,NA,GVAC,LSZH,['4465' '1000'],2017-08-04T06:44:13Z,2017-08-04T10:45:36Z,[374497]
09c08870-c3c9-4a0d-92d5-59b912b2112d,SWR213D,HBIJD,A320,0x4B160D,LEMG,LSZH,['0000' '5302'],2017-08-04T13:27:31Z,2017-08-04T15:56:19Z,['0xe59bbe9' 376787]
0a744036-9cd3-43cb-bbbe-a82e81d0ebb8,CTN464,9ACQB,DH8D,0x501DA9,LDZA,LSZH,['2211' '7210'],2017-08-04T16:19:10Z,2017-08-04T17:40:12Z,[385109 '0xe5a47dc']
0b4a360e-2409-4ce3-adcd-ec47ca5bdbd4,SWR63D,HBIOF,A321,0x4B1691,LFPG,LSZH,['0000' '1000' '3047'],2017-08-04T08:20:08Z,2017-08-04T09:25:03Z,['0xe590c72' 368076]
0b67362e-59e0-420d-8106-d3797c5fbb6c,GSW3225,HBJOI,A321,0x4B1938,BKPR,LSZH,['0000' '1322' '4170' '7322' '1000'],2017-08-04T08:50:48Z,2017-08-04T10:53:29Z,['0xe591a50' 369009]
0bc9b66f-c627-4abb-940d-ee01182b0d45,UAL52,NA,NA,NA,KIAD,LSZH,['2064'],2017-08-04T06:44:54Z,2017-08-04T08:32:28Z,[363968]
0d8e4809-c4a9-49c9-9bf7-6c6c4481433c,SWR2069,HBIJD,A320,0x4B160D,LPPR,LSZH,['0000' '5412' '1000' '6340'],2017-08-04T02:19:07Z,2017-08-04T04:32:41Z,['0xe586bec' 360518]
0df0a9ac-8243-4621-aa4f-0b9798ccb30a,SWR179,NA,NA,0x4B191C,WSSS,LSZH,['0112' '7363' '1000'],2017-08-04T01:34:37Z,2017-08-04T04:08:24Z,[356746]
0e134eec-67d5-4061-a862-d88cfc9c881a,IBE3476,ECJEI,A319,0x342106,LEMD,LSZH,['5363'],2017-08-04T18:00:28Z,2017-08-04T19:57:07Z,['0xe5a96a6']
0e846a22-2029-41ab-b586-2467cfd00482,AUA561B,OELBL,A320,0x440668,LOWW,LSZH,['0000' '1000' '7365' '2000'],2017-08-04T05:34:25Z,2017-08-04T07:02:32Z,['0xe58c572' 362656]
0e968bc9-38b7-46d1-b9ab-ba52381ecf03,AUA567Z,NA,NA,0x44065C,LOWW,LSZH,['1000'],2017-08-04T18:42:09Z,2017-08-04T19:41:48Z,[381240]
0f330d01-be03-4a75-92aa-77ae4b8a65f6,SWR163W,HBJVL,E190,0x4B19F1,LIMC,LSZH,['0000' '1000'],2017-08-04T05:09:00Z,2017-08-04T06:07:07Z,['0xe58ba15' 350471]
0f537e0a-4cf0-4b63-8082-0c97f01d7ad5,SWR155,NA,NA,0x4B187D,VABB,LSZH,['0323'],2017-08-04T01:30:51Z,2017-08-04T04:10:44Z,[358450]
0f8d0164-cddb-4309-9c4b-7d39c3d701fc,SWR139,HBJNC,B77W,0x4B1918,VHHH,LSZH,['5355'],2017-08-04T23:49:21Z,2017-08-04T23:59:53Z,['0xe59d77d']
0fadcb22-0019-406e-8fcb-d3a0fccc5c8f,GWI8UB,DAGWM,A319,0x3C5EED,EDDK,LSZH,['0000' '2540'],2017-08-04T09:56:45Z,2017-08-04T10:45:43Z,['0xe59369d' 362696]
0fc0f950-37ad-43f5-ba63-ccc008743de7,DLH6TW,DAIBE,A319,0x3C6445,EDDM,LSZH,['1000'],2017-08-04T13:41:03Z,2017-08-04T14:21:36Z,['0xe59c0ab' 368645]
109859d2-ac9f-4c08-83d8-43e8db0b435f,MGX150,4OAOB,E195,0x516097,LYPG,LSZH,['7360' '1000'],2017-08-04T06:45:59Z,2017-08-04T08:13:06Z,['0xe58e318']
113cd4e2-3698-40b9-8dfd-33086da948ad,SWR164L,HBJVH,F100,0x4B19ED,LIMC,LSZH,['0000' '1000'],2017-08-04T09:10:01Z,2017-08-04T10:04:00Z,['0xe592378' 356818]
11c037c0-efa9-4561-8657-07f39d583898,DLH4NE,DAILH,A319,0x3C6588,EDDF,LSZH,['0000' '1000'],2017-08-04T11:18:37Z,2017-08-04T12:17:09Z,['0xe59606b' 378926]
1292229b-cdc7-4fd6-b50f-7bf468fd5a84,IBE3474,ECKUB,A319,0x34324E,LEMD,LSZH,['0000' '4675' '1455' '1000'],2017-08-04T13:46:46Z,2017-08-04T15:52:39Z,['0xe59ca6d' 390302]
13e6dd31-4062-4a88-bfc1-69e4a0968ecd,SWR129A,HBIOF,A321,0x4B1691,EKCH,LSZH,['0000' '0737' '3022'],2017-08-04T12:59:16Z,2017-08-04T15:20:12Z,['0xe59a6ed' 376214]
13e93818-a4d4-4653-b29c-1695b6c028de,SWR1957,HBIOF,A321,0x4B1691,LEBL,LSZH,['1017' '3036' '3011'],2017-08-04T18:52:33Z,2017-08-04T20:25:51Z,['0xe5abf4a']
14c930b6-462a-44b2-856c-c17e7389f5e7,AUA563Z,DABZF,A320,0x3C4B46,LOWW,LSZH,['0000' '1000' '5011' '6725'],2017-08-04T13:34:16Z,2017-08-04T15:07:35Z,['0xe59be5f' 379215]
14dab05d-cabb-4490-bfb3-71dee85caa70,TAP922,CSTPP,E190,0x495210,LPPR,LSZH,['4753' '0000' '1000'],2017-08-04T06:12:02Z,2017-08-04T08:11:44Z,[351772 '0xe58d517']
14dafe36-7ba1-414b-bc4f-86d23b7d1595,SWR1575,HBIOK,A321,0x4B1696,LOWW,LSZH,['0000' '1000'],2017-08-04T07:52:02Z,2017-08-04T09:13:07Z,['0xe58ff9e' 367818]
159082a2-80ce-4ea6-bb5a-5081dfd05981,SWR1951,HBIOD,A321,0x4B168F,LEBL,LSZH,['0000' '1033' '3074'],2017-08-04T04:50:06Z,2017-08-04T06:25:21Z,['0xe58b127' 363241]
15a56984-e3a0-4da8-aa06-d02ae7d7ff7d,EDW21E,HBIJV,A320,0x4B161F,LEZL,LSZH,['0000' '5323' '1052'],2017-08-04T18:18:18Z,2017-08-04T20:35:04Z,['0xe5aa288' 391612]
15f1143f-4cb2-4727-838f-b7221b203b7c,CTN460,9ACQA,DH8D,0x501DA8,LDZA,LSZH,['0000' '7375' '1000'],2017-08-04T07:13:15Z,2017-08-04T08:39:02Z,['0xe58eec0']
168b8d56-05aa-4cfd-880c-6ba785e5e9b1,SWR53T,HBJHA,A333,0x4B187A,KBOS,LSZH,['2244' '0000' '1000'],2017-08-04T06:53:19Z,2017-08-04T09:02:54Z,[373173 '0xe585ba7']
1861f73c-0cd3-4a17-ba74-373c92db4770,BAW712,GEUYF,A320,0x40615B,EGLL,LSZH,['0000' '7263'],2017-08-04T08:35:52Z,2017-08-04T09:58:48Z,['0xe5911c1' 370486]
18972934-0ecf-4608-997a-93becfedb854,BER10DQ,DABNF,A320,0x3C49C6,EDDT,LSZH,['0000' '1120'],2017-08-04T12:45:08Z,2017-08-04T14:03:46Z,['0xe599d4f' 377753]
19039d85-3e42-4cde-947b-d7260925c9d9,SWR2597,HBIPY,A319,0x4B16BE,LMML,LSZH,['0000' '6560' '1000'],2017-08-04T07:22:49Z,2017-08-04T09:44:44Z,['0xe58f2bf' 367164]
196bbd17-7a1b-447c-9256-5ac7b730a034,HBFKC,HBFKC,PC6T,0x4B0E3A,LSZC,LSZH,['4270'],2017-08-04T12:50:38Z,2017-08-04T13:00:47Z,['0xe599f56']
19a5e5cd-bf35-479e-9669-8538f0a845dd,CTN460,NA,NA,0x501DA8,LDZA,LSZH,['7375' '1000'],2017-08-04T07:12:30Z,2017-08-04T08:42:28Z,[378104]
19b3c886-9a4d-4f4c-a185-3b37a9df1677,NJE041Q,NA,NA,NA,LEMD,LSZH,['4640' '1000'],2017-08-04T14:39:33Z,2017-08-04T16:19:24Z,[388192]
1a0bbe97-d4c1-4d36-91d6-168ff230e925,SWR199B,HBION,A321,0x4B1699,LEBL,LSZH,['0000' '1001' '3061' '1000'],2017-08-04T16:50:49Z,2017-08-04T18:33:44Z,['0xe5a603d' 382234]
1a4e84d5-9b87-48fc-b7a0-6d7c0b560499,SWR2511,HBIOL,A321,0x4B1697,LICP,LSZH,['0000' '4305' '1000' '5547'],2017-08-04T07:54:06Z,2017-08-04T09:54:41Z,['0xe5900ab' 367822]
1b31609b-e94a-47fe-8f1f-7b466e40eb4d,SWR97Q,HBIPY,A319,0x4B16BE,EDDT,LSZH,['0000' '1116'],2017-08-04T18:42:12Z,2017-08-04T20:03:48Z,['0xe5ab83d' 385628]
1b557f5c-dd3f-4db0-8821-6988c6dff5d6,SWR161,HBJMH,A343,0x4B1903,RJAA,LSZH,['0000' '5774' '2234' '3021'],2017-08-04T09:30:07Z,2017-08-04T13:55:31Z,['0xe585370' 365278]
1bf49fd7-bbb4-42d4-b6dc-343090643f51,SWR729,HBIJL,A320,0x4B1615,EHAM,LSZH,['0000' '1000'],2017-08-04T13:24:14Z,2017-08-04T14:26:43Z,['0xe59b82b' 376041]
1ca69b80-431c-4f82-9f18-d29e10c11c03,SWR285K,HBJVF,F100,0x4B19EB,LHBP,LSZH,['0000' '4204' '1000'],2017-08-04T12:48:44Z,2017-08-04T14:23:24Z,['0xe599f79' 360742]
1d0c741c-14f7-4dbe-9fba-2909c713ba82,SWR193E,HBIOM,A321,0x4B1698,LEBL,LSZH,['5526'],2017-08-04T13:02:04Z,2017-08-04T14:32:50Z,['0xe59a776' 376043]
1d4baf99-9e21-455e-a73d-186dd9e44c3d,DLH6HW,DAIUF,A320,0x3C66A6,EDDF,LSZH,['0000' '1000' '2524'],2017-08-04T07:40:56Z,2017-08-04T08:34:54Z,['0xe58fac6' 373347]
1d519e19-d281-41f5-8c11-61863d3ba81b,ELY347,4XEKB,B738,0x738064,LLBG,LSZH,['7256' '5651' '5607' '1000'],2017-08-04T04:24:07Z,2017-08-04T08:30:32Z,['0xe5879df' 373922]
1d7b6788-cfc9-46f1-9872-c58f619835dc,SWR35Q,NA,NA,0x4B19F6,EGCC,LSZH,['2270'],2017-08-04T08:28:14Z,2017-08-04T09:50:52Z,[369204]
1e0fadd8-ed01-4cb2-80e3-221816a73804,SWR54F,NA,NA,NA,LFLL,LSZH,['1000'],2017-08-04T08:32:16Z,2017-08-04T09:27:48Z,[365384]
1e3f9b25-5797-4008-82dd-37e5ded0376b,HBCNK,HBCNK,F152,0x4B06A4,LSZB,LSZH,['0000' '7000'],2017-08-04T15:27:22Z,2017-08-04T16:53:22Z,['0xe5a1aba']
1f53c90e-e958-46ab-b1e1-95599554ad2c,SWR103Q,HBJLQ,A320,0x4B18F2,EDDL,LSZH,['1000'],2017-08-04T18:16:06Z,2017-08-04T18:57:32Z,[384541 '0xe5a9b41']
1f7438bb-4c71-4353-8fdd-755dcf114575,SWR565,HBJLS,A320,0x4B18F4,LFMN,LSZH,['0000' '1000'],2017-08-04T04:52:27Z,2017-08-04T05:55:42Z,['0xe58b225' 363797]
1f804e0d-4ee5-435a-9ce9-be8c3b55c501,IBE3476,NA,NA,NA,LEMD,LSZH,['5363'],2017-08-04T18:12:33Z,2017-08-04T19:56:36Z,[395199]
1fb4cb17-d36c-4f05-821a-04e1f9261a42,SWR54F,OELGI,DH8D,0x440110,LFLL,LSZH,['1000'],2017-08-04T08:34:32Z,2017-08-04T09:22:34Z,['0xe591283']
207bbdb7-661f-4d0f-8d46-2e3c4f63f594,BER8582,DABFG,A320,0x3C48C7,EDDL,LSZH,['1000' '0000'],2017-08-04T04:33:24Z,2017-08-04T05:41:53Z,['0xe58a946' 365907]
20be4c2e-1114-4dbe-8525-28190a4892fd,KLM47B,PHEZW,E190,0x484F7F,EHAM,LSZH,['1000' '0000'],2017-08-04T05:21:18Z,2017-08-04T06:23:36Z,[371957 '0xe58bfd2']
2243a434-1937-46b8-8d79-c863b25a9c2e,FIN27E,OHLZN,A321,0x461FA3,EFHK,LSZH,['0000' '2214' '6017'],2017-08-04T04:55:31Z,2017-08-04T07:46:55Z,['0xe58b392' 372021]
2297dcd0-6fe9-48eb-b328-4fd1ac07544c,EZY49CB,GEZBH,A319,0x400F02,EDDB,LSZH,['1000'],2017-08-04T10:16:49Z,2017-08-04T11:39:37Z,['0xe5940be' 362700]
23a9498e-fb82-4289-b0be-2d677bdcdb42,MGX150,NA,NA,0x516097,LYPG,LSZH,['7360' '1000'],2017-08-04T06:40:39Z,2017-08-04T08:18:04Z,[359358]
23f4de45-26ce-4838-b2af-6c72f7ebd831,SWR561,HBIJQ,A320,0x4B161A,LFMN,LSZH,['0000' '1000'],2017-08-04T17:08:20Z,2017-08-04T18:22:09Z,['0xe5a6e86' 382948]
25168cf6-3f12-4c4d-a237-26388002d5d8,SWR152A,HBIJB,A320,0x4B160B,LOWW,LSZH,['0000' '1000'],2017-08-04T17:12:28Z,2017-08-04T18:11:38Z,['0xe5a70d2' 382951]
