flight_id,timestamp,longitude,latitude,altitude,distance_flown,distance_arp,sequence_number,type,holding_id,bearing,quadrant,callsign,aircraft_reg,aircraft_type,aircraft_address,adep,ades
87c9010c-c049-463d-9f22-b191b8069477,2017-08-07T03:21:10Z,0.5568182305917913,51.67969473907267,11434.110098287545,1315.870825322544,39.99836777705145,1,P40,NA,252.72041887093036,III,BAW32,NA,NA,0x406EC9,VHHH,EGLL
74abc117-2b34-45db-898f-af68c0f8ba74,2017-08-07T03:37:13Z,0.5967976160795462,51.52402628152895,10593.293183778776,1402.0327729098503,39.77181307175048,1,P40,NA,266.384318036169,III,BAW34,NA,NA,0x406F78,WMKK,EGLL
92f766ea-13a5-46c0-98bf-a698903d41a3,2017-08-07T03:39:22Z,0.5989613415786316,51.51567682735819,11175.390937443004,1313.834720470721,39.82433118397573,1,P40,NA,267.1135637812001,III,BAW28,NA,NA,0x40621C,VHHH,EGLL
29c090cf-32b5-4994-b37e-67633dd1babf,2017-08-07T03:46:19Z,0.5808831011327312,51.60234591329811,10265.96992983523,1297.6759591484845,39.7571009957322,1,P40,NA,259.5345572380829,III,VIR207,NA,NA,0x406B4A,VHHH,EGLL
17994552-4934-4e8b-a5bf-10c79621502f,2017-08-07T03:50:49Z,-1.0270816775009104,50.92319140433071,14476.926165077724,1108.908625232706,39.555327872097,1,P40,NA,32.44877916238107,I,BAW74,GVIIN,B772,0x4006C0,DNMM,EGLL
d06efa37-3dec-49b5-b6c9-0851afb11f2e,2017-08-07T03:57:06Z,0.3984903255269863,51.093722859323414,14655.012748257746,1599.2194537590217,39.7565283569499,1,P40,NA,305.77713477026566,IV,BAW262,NA,NA,0x4005B9,OERK,EGLL
2fc9c676-1693-45a7-9539-1a0819d701db,2017-08-07T04:05:44Z,0.3967439938839051,51.097659811963915,14314.559107357396,1237.981191541139,39.56497347416034,1,P40,NA,305.55385656801514,IV,BAW56,GXLEH,A388,0x406B21,FAJS,EGLL
3e6f0082-ff8c-4618-9042-6dac5c69125f,2017-08-07T04:09:35Z,0.4080680528933527,51.09760090757726,8977.508989479275,1969.7346872051844,39.91624130333074,1,P40,NA,305.2092812163924,IV,BAW64M,GBNLP,B744,0x40040F,HKJK,EGLL
6bb27487-2759-4752-b18f-d3ebbaf6eb1e,2017-08-07T04:12:09Z,0.5384642300500317,51.70491731732512,11794.844196342592,1787.3969321767065,39.82852481127098,1,P40,NA,250.33114059037572,III,CPA251,BKQI,B77W,0x780A3B,VHHH,EGLL
b581bd61-873f-4af6-986d-d1100b6632ec,2017-08-07T04:31:37Z,-1.506408011976711,51.36397657730631,14902.188248726976,564.4342407243888,39.84054334731865,1,P40,NA,79.73563882345331,I,BAW9E,GYMMI,B772,0x4007F4,KEWR,EGLL
9c570e77-3486-4a9f-8ebd-697663fb47a3,2017-08-07T04:32:56Z,0.5750728258972209,51.63409884314432,11998.394933671114,1397.376187628371,39.93595049484739,1,P40,NA,256.7811930581821,III,MAS2,NA,NA,0x750291,WMKK,EGLL
2962012d-82ae-4bdb-9d42-432a8f7efb6a,2017-08-07T04:34:23Z,-1.0725354044555677,50.93915838565618,14535.987204404275,457.5570618545859,39.72002925599469,1,P40,NA,35.25720536385842,I,BAW244,NA,NA,0x4007F1,SAEZ,EGLL
088c83d3-8445-43cb-87a9-7dcb1e3cb4df,2017-08-07T04:36:10Z,-1.0771733342863574,50.935745017917505,14431.280553908393,1398.3386269758387,39.98907631583371,1,P40,NA,35.28998555170023,I,BAW244,GYMMF,B772,0x4007F1,SAEZ,EGLL
ce4f4cd6-977d-4087-b580-d32f0394b240,2017-08-07T04:38:11Z,-1.5023828960699674,51.36197207541223,11000,558.3677989378062,39.71331196099032,1,P40,NA,79.52893288725403,I,UAL958,N646UA,B763,0xA87D48,KORD,EGLL
dd1a5547-dc32-4642-9655-5c35beccb668,2017-08-07T04:38:21Z,0.5496708101195802,51.678560474827016,12398.969886000705,1388.0804685286378,39.72323847187298,1,P40,NA,252.69427727848324,III,BAW106,NA,NA,0x400613,OMDB,EGLL
89dd7779-4d53-47a9-b31e-779133baa2da,2017-08-07T04:39:54Z,0.5566057296622496,51.67730475860081,13274.055422392541,1397.9784275184245,39.94836792845548,1,P40,NA,252.91349887602445,III,RBA97,NA,NA,0x895057,OMDB,EGLL
0ee5f54d-0cdc-4aea-b10f-10dd4a6bc4c7,2017-08-07T04:42:14Z,0.5484297968052269,51.67789650358909,13421.349091899781,1796.7930947812906,39.66712823022686,1,P40,NA,252.72839412867748,III,CPA237,BKQE,B77W,0x780A37,VHHH,EGLL
e5a02386-2b7a-452d-8ca9-6ab3fa92b9ac,2017-08-07T04:44:06Z,-1.504363996707244,51.36372983529875,11853.132435219877,555.7778072397535,39.7675561960427,1,P40,NA,79.69649026511098,I,DAL16,N174DZ,B763,0xA1286C,KDTW,EGLL
0464a660-17d8-4c0f-858d-a8b5a8ba23ab,2017-08-07T04:45:39Z,-1.5035550287363308,51.36341267353392,13714.640744902503,559.477489342372,39.74103922595695,1,P40,NA,79.66225271782469,I,BAW6W,GBYGG,B744,0x40073F,KIAD,EGLL
6dc2d7cf-d0b8-4f62-8a7a-09a9e156dee7,2017-08-07T04:46:17Z,-1.498494368592912,51.61019053415918,13974.162252384192,560.3755214519142,39.65988018715211,1,P40,NA,101.18852971747896,II,BAW40F,GCIVZ,B744,0x4006B0,KJFK,EGLL
f6cabc35-051c-4566-8c23-fd23fe591f8c,2017-08-07T04:46:26Z,-1.0446242988843097,50.92467710044092,14400.88198851277,1094.9750901582945,39.84196277717951,1,P40,NA,33.31231018505184,I,BAW58L,GCIVT,B744,0x4006AA,FACT,EGLL
17543b00-ae68-42e2-86d7-e59f610bd26d,2017-08-07T04:46:50Z,0.5561634129362957,51.67792271634384,14487.932563821636,1796.562339809096,39.94350527578289,1,P40,NA,252.85529013909814,III,CPA255,BKPQ,B77W,0x78023D,VHHH,EGLL
