flight_id,callsign,aircraft_reg,aircraft_type,aircraft_address,adep,ades,ssr_codes,period_start,period_finish,source_ids
00251e16-8896-42d3-822f-86e5d6a61989,BAW817,GMEDL,A321,0x400D89,EKCH,EGLL,['2041' '3466' '5646'],2017-08-08T14:44:58Z,2017-08-08T16:34:11Z,['0xe66bce6' 515460]
0076ca1a-ba21-4fef-b9bd-0d25f37b7649,SHT19T,GEUUP,A320,0x400A25,EGPD,EGLL,['0000' '7301'],2017-08-08T15:37:59Z,2017-08-08T17:02:53Z,['0xe66e51f' 516772]
00c7472f-5373-4eef-9c6a-ea43b1be847d,SAA234,ZSSXU,A332,0x00B203,FAJS,EGLL,['4257' '4017'],2017-08-08T02:26:30Z,2017-08-08T05:17:31Z,['0xe641762' 497560]
0179e7ee-656d-46c6-82de-31c3432ec58e,AMX007,N964AM,B788,0xAD6B0E,MMMX,EGLL,['5410'],2017-08-08T12:53:36Z,2017-08-08T14:43:24Z,[512224 '0xe657cf2']
030bf4d6-1a92-4ef5-a336-f7a78a295d35,DLH3LY,DAINB,A20N,0x3C65C2,EDDF,EGLL,['0000' '2531' '2004'],2017-08-08T04:58:57Z,2017-08-08T06:28:11Z,['0xe65889a' 503998]
03290430-a72d-4c08-bb73-a0a32abd51d4,SAS505,OYKAR,A320,0x45AC32,EKCH,EGLL,['0000' '0754'],2017-08-08T13:32:27Z,2017-08-08T15:23:31Z,['0xe6688ec' 516899]
0369d7f3-1d56-4099-8b42-6a7b8bf2b14c,EIN714,EIEDP,A320,0x4CA76F,EICK,EGLL,['0000' '1065' '4462' '6205'],2017-08-08T13:19:51Z,2017-08-08T14:46:17Z,['0xe667f9a' 504880]
03aaf258-4309-4c5b-814d-3df79f3e455f,AFL2580,VPBOE,A321,0x4242DA,UUEE,EGLL,['0000' '2757' '3522'],2017-08-08T04:20:04Z,2017-08-08T08:41:30Z,['0xe657702']
03cbb5a7-32fc-4204-9f08-997834b279bc,OMA101,A4ODB,A333,0x70C0A5,OOMS,EGLL,['4072' '0000' '3220' '3277'],2017-08-08T11:10:55Z,2017-08-08T17:33:58Z,['0xe65f699' 519924]
03e8294b-0b2b-4308-9632-46bfb0cbb087,EWG464,DABGR,A319,0x3C48F2,EDDK,EGLL,['4114'],2017-08-08T12:52:15Z,2017-08-08T13:58:15Z,[511763 '0xe666bc7']
0590d15d-d1cf-4598-9cff-dd8d7fc0c042,UAL930,N38950,B789,0xA47FD9,KSFO,EGLL,['2155' '2000' '5402'],2017-08-08T10:13:34Z,2017-08-08T12:55:34Z,['0xe654da6' 507721]
05ab2026-0924-4f9a-b46c-341f2011cff7,EIN164,EIDEF,A320,0x4CA217,EIDW,EGLL,['0000' '4460'],2017-08-08T10:59:15Z,2017-08-08T12:18:07Z,['0xe66296d' 508617]
05bcaa8d-88f5-4e31-83ef-f397f94e24fa,BAW763,GEUUL,A320,0x4009D9,ENGM,EGLL,['6212' '6531' '0322' '2311'],2017-08-08T09:43:02Z,2017-08-08T12:02:42Z,['0xe66033e' 507335]
05d4a58f-5e62-443e-8000-84b398e3b6b4,BAW583,NA,NA,0x401240,LIMC,EGLL,['0443' '5757'],2017-08-08T06:24:20Z,2017-08-08T07:57:10Z,[495819]
05f84417-dbed-440e-889a-093688503d11,EIN386,EIDVK,A320,0x4CA8BD,EINN,EGLL,['0000' '5472' '6351'],2017-08-08T16:26:30Z,2017-08-08T17:39:51Z,['0xe670955' 520611]
0605ee84-b67e-4a9a-965a-a602e26c67eb,VIR401Y,GVRAY,A333,0x4066AB,OMDB,EGLL,['0547' '0000' '3255'],2017-08-08T07:35:05Z,2017-08-08T14:23:11Z,['0xe65bbbd' 515273]
0648c6fa-1206-4bd9-b98e-eb609be5fd3b,GWI2462,DAKNG,A319,0x3C6DC7,EDDS,EGLL,['0000' '0615' '4754'],2017-08-08T05:55:57Z,2017-08-08T07:29:53Z,['0xe65a144' 498412]
0671ba11-cea8-45de-aa23-a830cdf3c513,MAS4,9MMNF,A388,0x750293,WMKK,EGLL,['3676' '2255'],2017-08-08T09:09:57Z,2017-08-08T15:06:03Z,['0xe653d80' 508147]
0758fd08-1715-46af-8401-6555bb3ffa81,UAE7,A6EEB,A388,0x896181,OMDB,EGLL,['0521'],2017-08-08T23:44:07Z,2017-08-08T23:59:59Z,['0xe681e82']
077550b1-7f3b-4a96-bc26-4f85d90bda64,EIN03D,EICVA,A320,0x4CA13D,EGAC,EGLL,['0000' '7303'],2017-08-08T16:31:20Z,2017-08-08T17:35:56Z,['0xe670997' 513616]
07b8499a-2fae-4e54-ba9f-c37fd51da62f,BAW965,GEUPV,A319,0x4008B0,EDDH,EGLL,['1357' '3441' '7226'],2017-08-08T08:38:43Z,2017-08-08T10:08:24Z,['0xe65e4ac' 505532]
080ba6a5-a863-4a57-877b-d4af67a04e93,BAW11J,GCIVH,B744,0x4005E3,KJFK,EGLL,['5420' '0000'],2017-08-08T04:19:45Z,2017-08-08T05:48:40Z,[503944 '0xe64d88f']
08fd9c3e-517e-495a-86d9-954659c67837,VIR8E,GVOOH,B789,0x406B4A,KLAX,EGLL,['1365' '7641'],2017-08-08T07:10:49Z,2017-08-08T08:52:18Z,['0xe64cb59' 502357]
090cefec-0e0e-4596-ab0f-ab554b8fc269,BAW499,GEUYA,A320,0x405A49,LPPT,EGLL,['4762' '7472'],2017-08-08T06:29:52Z,2017-08-08T08:59:26Z,['0xe65ac1c']
0a522246-b4b5-43d3-865d-4b868326c8c3,SHT3L,GEUOE,A319,0x40093E,EGCC,EGLL,['0000' '7660' '4734' '0325'],2017-08-08T14:59:54Z,2017-08-08T15:45:42Z,['0xe66c466' 515959]
0af6cdee-e6d3-4cf8-9d55-a07db6304478,DLH2NF,DAIQU,A320,0x3C6635,EDDF,EGLL,['0000' '2504' '4153'],2017-08-08T08:06:43Z,2017-08-08T09:36:39Z,['0xe65d95c' 508983]
0af9cffb-3ca1-49de-9291-2e2c34f58f1b,SAA236,NA,NA,0x00B208,FAOR,EGLL,['4411' '4025'],2017-08-08T03:56:30Z,2017-08-08T06:04:16Z,[497413]
0b3d50a7-49e1-47ae-97af-591d857c62e0,BAW909U,GEUOD,A319,0x40093D,EDDF,EGLL,['0000' '2562' '1335' '2204'],2017-08-08T15:28:15Z,2017-08-08T17:05:41Z,['0xe66ddeb' 516691]
0c36653e-1362-488d-a355-92ea5458e097,BAW7PW,GEUXF,A321,0x400AFE,LEPA,EGLL,['0000' '5564' '6756'],2017-08-08T18:13:41Z,2017-08-08T20:28:19Z,['0xe67587f' 521085]
0c76878f-fa6a-419a-a96f-4c4e047efcef,BAW819,GEUUL,A320,0x4009D9,EKCH,EGLL,['0736'],2017-08-08T16:17:36Z,2017-08-08T18:02:36Z,['0xe6701d8' 517831]
0c8991ae-c8eb-4f52-b09c-cdf3b8db8f42,AUA457V,OELBB,A321,0x440C8D,LOWW,EGLL,['0000' '2205' '4727'],2017-08-08T18:12:36Z,2017-08-08T20:24:00Z,['0xe675657' 515758]
0e9fa31b-8f6b-4d8e-86b0-ffbcdf5caef0,EIN162,NA,NA,0x4CA294,EIDW,EGLL,['5466'],2017-08-08T10:19:22Z,2017-08-08T11:18:33Z,[506602]
0fa4076d-4181-492c-8441-d162a89e7f64,MAS2,9MMND,A388,0x750291,WMKK,EGLL,['3661'],2017-08-08T22:53:11Z,2017-08-08T23:59:36Z,['0xe66eb5c']
0fec5cf0-c5b3-44f8-983b-8bf1dfe3a1b6,AAL98,N804AN,B788,0xAAF0C6,KORD,EGLL,['5433' '0000'],2017-08-08T09:41:12Z,2017-08-08T11:11:10Z,[511527 '0xe6560d0']
0ff3e32f-22bb-4a18-9f34-ce3307005cf2,VIR22Q,GVINE,A333,0x40655D,KIAD,EGLL,['0000' '4215' '2265'],2017-08-08T04:24:35Z,2017-08-08T06:02:31Z,['0xe64d22a' 502752]
100f84bf-07ce-4aca-a807-7b39e109930b,FIN833H,OHLZI,A321,0x461F9E,EFHK,EGLL,['0000' '3511' '3521' '6071' '2704'],2017-08-08T13:07:13Z,2017-08-08T16:18:41Z,['0xe66770b' 519911]
101f2f43-03f4-49ce-acee-4761dead8355,SHT9Z,GBZHA,B763,0x4006C6,EGPH,EGLL,['7306'],2017-08-08T09:36:53Z,2017-08-08T10:53:04Z,['0xe660164' 506144]
10c18c99-6103-4285-bb60-a35700c32a90,FIN1XB,OHLVA,A319,0x461F2E,EFHK,EGLL,['0000' '3531' '1420'],2017-08-08T16:29:20Z,2017-08-08T19:45:25Z,['0xe670bcb']
10dfefe9-492f-48a8-b53a-99a9a33a5200,AUA451P,OELBP,A320,0x44001C,LOWW,EGLL,['0000' '2252' '2232'],2017-08-08T04:58:24Z,2017-08-08T07:16:18Z,['0xe658820' 496281]
1162ab9b-48fb-49e3-bae0-967c8d1e3bd5,IBE3180,ECIZH,A320,0x3420CB,LEMD,EGLL,['0000' '5341'],2017-08-08T15:09:44Z,2017-08-08T17:54:27Z,['0xe66cf92' 526016]
117aa78d-8ab2-4f12-8b5b-860c71fb5a96,BAW5LG,GEUPL,A319,0x40087B,EKBI,EGLL,['0000' '0747' '' '6661'],2017-08-08T10:16:13Z,2017-08-08T12:08:15Z,['0xe6613cd' 506417]
12054a60-b886-4f79-9fe2-855424bd80f6,BAW439,GEUUM,A320,0x4009DA,EHAM,EGLL,['6264' '2373' '2075'],2017-08-08T14:28:57Z,2017-08-08T15:36:30Z,['0xe66b217' 515221]
1241beae-7560-47e8-a78e-159413a33d7b,SWR24H,HBIOF,A321,0x4B1691,LSZH,EGLL,['0000' '3051' '1000' '3004'],2017-08-08T18:59:45Z,2017-08-08T20:35:44Z,['0xe677a6a' 520577]
12681c53-2d0e-4702-98c0-9c42096d7285,BAW10,GYMMA,B772,0x4007EC,VTBS,EGLL,['3720' '3266' '4763' '5762'],2017-08-08T11:28:31Z,2017-08-08T17:08:38Z,['0xe658eb0' 512069]
12b0c9e7-bd11-4b51-aaf5-6f7c21db9bf3,AAL174,N768AA,B772,0xAA5F41,KRDU,EGLL,['0000' '5444'],2017-08-08T05:48:45Z,2017-08-08T07:32:34Z,['0xe649473' 502726]
