VERSION;AIRPORT;ASMA_RADIUS;AC_CLASS;RUNWAY;ASMA_SECTOR;FROM_BEARING;TO_BEARING;VALID_FROM;VALID_TO;UNIMPEDED_TIME;UNIMPEDED_DIST_KM;STD_U;TF_UNIMPEDED;SATURATION_LEVEL;SAMPLE_FROM;SAMPLE_TO;SAMPLE_SIZE;DAY_TIME_START;DAY_TIME_END;TIMEZONE;CONGESTION_LIMIT
11;EBBR;100;H;07L;3;260;330;01/09/2013;01/01/2099;;;;19;12;20/12/2012;02/10/2013;35;6,5;22;1;0,5
10;EBBR;100;H;07L;3;260;330;01/01/2011;01/09/2013;;;;4;14;18/04/2011;24/10/2011;5;6,5;22;1;0,5
11;EBBR;100;H;07L;4;330;60;01/09/2013;01/01/2099;;;;0;14;20/12/2012;02/10/2013;4;6,5;22;1;0,5
11;EBBR;40;H;07L;4;330;60;01/09/2013;01/01/2099;;;;0;9;20/12/2012;02/10/2013;4;6,5;22;1;0,5
11;EBBR;40;H;07R;1;60;150;01/09/2013;01/01/2099;;;;0;10;23/03/2013;23/03/2013;1;6,5;22;1;0,5
11;EBBR;100;H;07R;1;60;150;01/09/2013;01/01/2099;;;;0;17;23/03/2013;23/03/2013;2;6,5;22;1;0,5
11;EBBR;100;H;07R;2;150;260;01/09/2013;01/01/2099;;;;0;11;22/03/2013;02/10/2013;6;6,5;22;1;0,5
11;EBBR;40;H;07R;2;150;260;01/09/2013;01/01/2099;;;;1;6;22/03/2013;02/10/2013;6;6,5;22;1;0,5
11;EBBR;40;H;07R;3;260;330;01/09/2013;01/01/2099;;;;2;7;20/01/2013;02/10/2013;3;6,5;22;1;0,5
11;EBBR;100;H;07R;3;260;330;01/09/2013;01/01/2099;;;;2;12;20/01/2013;02/10/2013;2;6,5;22;1;0,5
10;EBBR;100;H;07R;4;330;60;01/01/2011;01/09/2013;;;;1;14;23/04/2011;23/04/2011;1;6,5;22;1;0,5
10;EBBR;40;H;07R;4;330;60;01/01/2011;01/09/2013;;;;1;8;23/04/2011;23/04/2011;1;6,5;22;1;0,5
11;EBBR;100;H;07R;4;330;60;01/09/2013;01/01/2099;;;;0;15;23/03/2013;23/03/2013;1;6,5;22;1;0,5
11;EBBR;40;H;07R;4;330;60;01/09/2013;01/01/2099;;;;0;9;23/03/2013;23/03/2013;1;6,5;22;1;0,5
11;EBBR;100;H;19;1;60;150;01/09/2013;01/01/2099;;;;18;13;01/10/2013;28/10/2013;40;6,5;22;1;0,5
11;EBBR;40;H;19;1;60;150;01/09/2013;01/01/2099;;;;19;7;01/10/2013;28/10/2013;42;6,5;22;1;0,5
11;EBBR;40;H;19;2;150;260;01/09/2013;01/01/2099;;;;3;7;02/10/2013;28/10/2013;13;6,5;22;1;0,5
11;EBBR;100;H;19;2;150;260;01/09/2013;01/01/2099;;;;4;12;02/10/2013;28/10/2013;16;6,5;22;1;0,5
11;EBBR;100;H;19;3;260;330;01/09/2013;01/01/2099;23,6416666666667;227;2,0894462947665;20;12;01/10/2013;31/10/2013;41;6,5;22;1;0,5
11;EBBR;40;H;19;3;260;330;01/09/2013;01/01/2099;;;;17;7;01/10/2013;31/10/2013;42;6,5;22;1;0,5
11;EBBR;40;H;19;4;330;60;01/09/2013;01/01/2099;;;;1;7;03/10/2013;27/10/2013;4;6,5;22;1;0,5
11;EBBR;100;H;19;4;330;60;01/09/2013;01/01/2099;;;;0;12;03/10/2013;21/10/2013;3;6,5;22;1;0,5
11;EBBR;100;H;20;1;60;150;01/09/2013;01/01/2099;23,975;209;1,57648758866988;152;12;01/11/2012;16/09/2013;313;6,5;22;1;0,5
10;EBBR;100;H;20;1;60;150;01/01/2011;01/09/2013;25,35;209;2,40534881322421;41;14;03/01/2011;28/12/2011;108;6,5;22;1;0,5
10;EBBR;40;H;20;1;60;150;01/01/2011;01/09/2013;14,0333333333333;96;1,66626951709658;43;8;03/01/2011;28/12/2011;134;6,5;22;1;0,5
11;EBBR;40;H;20;1;60;150;01/09/2013;01/01/2099;13,2833333333333;96;1,15361832877087;143;7;01/11/2012;16/09/2013;327;6,5;22;1;0,5
10;EBBR;100;H;20;2;150;260;01/01/2011;01/09/2013;;;;7;14;03/01/2011;28/12/2011;95;6,5;22;1;0,5
11;EBBR;100;H;20;2;150;260;01/09/2013;01/01/2099;;;;13;12;01/11/2012;16/09/2013;102;6,5;22;1;0,5
11;EBBR;40;H;20;2;150;260;01/09/2013;01/01/2099;;;;11;7;01/11/2012;16/09/2013;86;6,5;22;1;0,5
10;EBBR;40;H;20;2;150;260;01/01/2011;01/09/2013;;;;6;8;03/01/2011;26/12/2011;69;6,5;22;1;0,5
11;EBBR;40;H;20;3;260;330;01/09/2013;01/01/2099;13,0166666666667;102;1,69087485548609;161;7;01/11/2012;25/08/2013;341;6,5;22;1;0,5
11;EBBR;100;H;20;3;260;330;01/09/2013;01/01/2099;21,7;215;1,90775609923672;163;11;01/11/2012;25/08/2013;343;6,5;22;1;0,5
10;EBBR;40;H;20;3;260;330;01/01/2011;01/09/2013;13,9083333333333;105;3,66828490936094;30;8;08/01/2011;28/12/2011;68;6,5;22;1;0,5
10;EBBR;100;H;20;3;260;330;01/01/2011;01/09/2013;23,1666666666667;217;3,80407848189673;37;14;08/01/2011;28/12/2011;76;6,5;22;1;0,5
11;EBBR;40;H;20;4;330;60;01/09/2013;01/01/2099;;;;10;6;01/11/2012;16/09/2013;42;6,5;22;1;0,5
10;EBBR;100;H;20;4;330;60;01/01/2011;01/09/2013;;;;4;13;03/01/2011;19/12/2011;20;6,5;22;1;0,5
10;EBBR;40;H;20;4;330;60;01/01/2011;01/09/2013;;;;7;7;03/01/2011;28/12/2011;28;6,5;22;1;0,5
11;EBBR;100;H;20;4;330;60;01/09/2013;01/01/2099;;;;5;11;01/11/2012;16/09/2013;34;6,5;22;1;0,5
10;EBBR;100;H;25L;1;60;150;01/01/2011;01/09/2013;21,1333333333333;191;1,80413168482947;1284;13;01/01/2011;31/12/2011;2421;6,5;22;1;0,5
10;EBBR;40;H;25L;1;60;150;01/01/2011;01/09/2013;10,8;78;1,20569980383912;1265;6;01/01/2011;31/12/2011;2524;6,5;22;1;0,5
11;EBBR;40;H;25L;1;60;150;01/09/2013;01/01/2099;10,9666666666667;78;1,10673960187601;1159;6;01/11/2012;31/10/2013;2119;6,5;22;1;0,5
11;EBBR;100;H;25L;1;60;150;01/09/2013;01/01/2099;21,5166666666667;190;1,60253953567878;1006;11;01/11/2012;31/10/2013;1977;6,5;22;1;0,5
11;EBBR;100;H;25L;2;150;260;01/09/2013;01/01/2099;24,3666666666667;250;2,49389541516629;161;12;02/11/2012;31/10/2013;729;6,5;22;1;0,5
10;EBBR;40;H;25L;2;150;260;01/01/2011;01/09/2013;15,15;134;1,73921017453555;119;9;01/01/2011;30/12/2011;574;6,5;22;1;0,5
11;EBBR;40;H;25L;2;150;260;01/09/2013;01/01/2099;15,7;136;1,60654800722008;158;8;02/11/2012;31/10/2013;588;6,5;22;1;0,5
10;EBBR;100;H;25L;2;150;260;01/01/2011;01/09/2013;23,95;249;2,48905777918413;159;14;01/01/2011;30/12/2011;682;6,5;22;1;0,5
11;EBBR;40;H;25L;3;260;330;01/09/2013;01/01/2099;14,65;123;1,45121384718876;1229;8;02/11/2012;31/10/2013;2438;6,5;22;1;0,5
10;EBBR;40;H;25L;3;260;330;01/01/2011;01/09/2013;14,4666666666667;123;1,4463615953211;1142;9;01/01/2011;31/12/2011;2267;6,5;22;1;0,5
10;EBBR;100;H;25L;3;260;330;01/01/2011;01/09/2013;23,05;234;1,81865546788872;1482;14;01/01/2011;31/12/2011;2547;6,5;22;1;0,5
11;EBBR;100;H;25L;3;260;330;01/09/2013;01/01/2099;23,3;235;1,7026519043355;1229;12;02/11/2012;31/10/2013;2478;6,5;22;1;0,5
11;EBBR;100;H;25L;4;330;60;01/09/2013;01/01/2099;21,2166666666667;212;1,78516672701706;99;11;03/11/2012;31/10/2013;379;6,5;22;1;0,5
10;EBBR;40;H;25L;4;330;60;01/01/2011;01/09/2013;12,25;101;1,4323320706402;499;7;01/01/2011;31/12/2011;1001;6,5;22;1;0,5
10;EBBR;100;H;25L;4;330;60;01/01/2011;01/09/2013;21,5083333333333;214;1,7312681091315;314;13;01/01/2011;30/12/2011;703;6,5;22;1;0,5
11;EBBR;40;H;25L;4;330;60;01/09/2013;01/01/2099;12,1666666666667;99;1,4038170803741;130;6;03/11/2012;31/10/2013;430;6,5;22;1;0,5
11;EBBR;40;H;25R;1;60;150;01/09/2013;01/01/2099;11,3333333333333;80;1,35630139127529;387;6;01/11/2012;31/10/2013;1021;6,5;22;1;0,5
10;EBBR;100;H;25R;1;60;150;01/01/2011;01/09/2013;21,7666666666667;193;1,910629267469;743;13;01/01/2011;31/12/2011;1670;6,5;22;1;0,5
10;EBBR;40;H;25R;1;60;150;01/01/2011;01/09/2013;11,3166666666667;80;1,25986258102958;739;7;01/01/2011;31/12/2011;1704;6,5;22;1;0,5
11;EBBR;100;H;25R;1;60;150;01/09/2013;01/01/2099;21,6666666666667;193;1,87569989274059;317;11;01/11/2012;31/10/2013;977;6,5;22;1;0,5
11;EBBR;100;H;25R;2;150;260;01/09/2013;01/01/2099;25,0333333333333;256;2,31470968772437;68;13;01/11/2012;31/10/2013;265;6,5;22;1;0,5
11;EBBR;40;H;25R;2;150;260;01/09/2013;01/01/2099;15,3666666666667;134;1,66130379174356;65;8;01/11/2012;31/10/2013;220;6,5;22;1;0,5
10;EBBR;100;H;25R;2;150;260;01/01/2011;01/09/2013;24,8833333333333;253;1,91642407122506;53;14;01/01/2011;31/12/2011;212;6,5;22;1;0,5
10;EBBR;40;H;25R;2;150;260;01/01/2011;01/09/2013;15,6333333333333;132;1,39006309702531;48;9;01/01/2011;31/12/2011;177;6,5;22;1;0,5
11;EBBR;100;H;25R;3;260;330;01/09/2013;01/01/2099;24,1083333333333;235;1,64991912206722;226;13;01/11/2012;31/10/2013;731;6,5;22;1;0,5
10;EBBR;40;H;25R;3;260;330;01/01/2011;01/09/2013;14,8666666666667;123;1,34079018626582;381;9;01/01/2011;31/12/2011;998;6,5;22;1;0,5
10;EBBR;100;H;25R;3;260;330;01/01/2011;01/09/2013;23,75;237;1,76053731037663;434;14;01/01/2011;31/12/2011;1026;6,5;22;1;0,5
11;EBBR;40;H;25R;3;260;330;01/09/2013;01/01/2099;15,1666666666667;124;1,44471502489079;249;8;01/11/2012;31/10/2013;710;6,5;22;1;0,5
11;EBBR;100;H;25R;4;330;60;01/09/2013;01/01/2099;21,55;210;1,59434329915347;41;11;10/11/2012;30/10/2013;152;6,5;22;1;0,5
10;EBBR;40;H;25R;4;330;60;01/01/2011;01/09/2013;12,0583333333333;97;1,65234308651052;62;7;01/01/2011;29/12/2011;170;6,5;22;1;0,5
11;EBBR;40;H;25R;4;330;60;01/09/2013;01/01/2099;12,5166666666667;98;1,38284972357876;47;7;10/11/2012;30/10/2013;176;6,5;22;1;0,5
10;EBBR;100;H;25R;4;330;60;01/01/2011;01/09/2013;21,275;213;1,99639303429768;50;13;01/01/2011;29/12/2011;136;6,5;22;1;0,5
10;EBBR;100;H;NA;1;60;150;01/01/2011;01/09/2013;;;;0;23;09/06/2011;09/06/2011;1;6,5;22;1;0,5
10;EBBR;40;H;NA;1;60;150;01/01/2011;01/09/2013;;;;0;9;09/06/2011;09/06/2011;1;6,5;22;1;0,5
10;EBBR;40;HEL;02;1;60;150;01/01/2011;01/09/2013;;;;1;20;07/03/2011;28/04/2011;2;6,5;22;1;0,5
10;EBBR;100;HEL;02;1;60;150;01/01/2011;01/09/2013;;;;1;62;07/03/2011;07/03/2011;1;6,5;22;1;0,5
10;EBBR;40;HEL;25L;1;60;150;01/01/2011;01/09/2013;;;;2;15;18/07/2011;18/07/2011;2;6,5;22;1;0,5
11;EBBR;40;HEL;25L;2;150;260;01/09/2013;01/01/2099;;;;1;9;20/11/2012;20/11/2012;1;6,5;22;1;0,5
11;EBBR;100;HEL;25L;2;150;260;01/09/2013;01/01/2099;;;;1;22;20/11/2012;20/11/2012;1;6,5;22;1;0,5
11;EBBR;40;HEL;25R;1;60;150;01/09/2013;01/01/2099;;;;0;10;20/05/2013;20/05/2013;1;6,5;22;1;0,5
11;EBBR;100;HEL;25R;1;60;150;01/09/2013;01/01/2099;;;;0;24;20/05/2013;20/05/2013;1;6,5;22;1;0,5
11;EBBR;100;HEL;25R;2;150;260;01/09/2013;01/01/2099;;;;1;25;21/12/2012;21/12/2012;1;6,5;22;1;0,5
11;EBBR;40;HEL;25R;2;150;260;01/09/2013;01/01/2099;;;;1;13;21/12/2012;21/12/2012;1;6,5;22;1;0,5
10;EBBR;100;HEL;25R;3;260;330;01/01/2011;01/09/2013;;;;2;36;26/08/2011;26/08/2011;2;6,5;22;1;0,5
10;EBBR;40;HEL;25R;3;260;330;01/01/2011;01/09/2013;;;;2;18;26/08/2011;26/08/2011;2;6,5;22;1;0,5
11;EBBR;100;LJ;01;1;60;150;01/09/2013;01/01/2099;;;;2;15;26/09/2013;11/10/2013;4;6,5;22;1;0,5
11;EBBR;40;LJ;01;1;60;150;01/09/2013;01/01/2099;;;;2;9;26/09/2013;11/10/2013;4;6,5;22;1;0,5
11;EBBR;40;LJ;01;2;150;260;01/09/2013;01/01/2099;;;;0;11;27/09/2013;27/09/2013;1;6,5;22;1;0,5
11;EBBR;100;LJ;01;2;150;260;01/09/2013;01/01/2099;;;;0;17;27/09/2013;27/09/2013;1;6,5;22;1;0,5
11;EBBR;100;LJ;02;1;60;150;01/09/2013;01/01/2099;24,8083333333333;214,5;3,16231749128844;30;13;14/11/2012;27/08/2013;87;6,5;22;1;0,5
10;EBBR;100;LJ;02;1;60;150;01/01/2011;01/09/2013;23,7833333333333;211,5;3,20094438776199;21;15;22/01/2011;10/11/2011;70;6,5;22;1;0,5
11;EBBR;40;LJ;02;1;60;150;01/09/2013;01/01/2099;14,1;105,5;2,34972330217287;32;8;14/11/2012;27/08/2013;78;6,5;22;1;0,5
10;EBBR;40;LJ;02;1;60;150;01/01/2011;01/09/2013;14,5666666666667;101;2,154818481928;20;8;26/01/2011;10/11/2011;64;6,5;22;1;0,5
10;EBBR;100;LJ;02;2;150;260;01/01/2011;01/09/2013;;;;12;14;28/01/2011;06/11/2011;27;6,5;22;1;0,5
10;EBBR;40;LJ;02;2;150;260;01/01/2011;01/09/2013;;;;17;7;22/01/2011;06/11/2011;36;6,5;22;1;0,5
11;EBBR;40;LJ;02;2;150;260;01/09/2013;01/01/2099;11,8666666666667;83;1,40794016854669;35;6;13/01/2013;04/09/2013;66;6,5;22;1;0,5
11;EBBR;100;LJ;02;2;150;260;01/09/2013;01/01/2099;23,5916666666667;204,5;3,85876225671473;26;12;13/01/2013;04/09/2013;56;6,5;22;1;0,5
10;EBBR;40;LJ;02;3;260;330;01/01/2011;01/09/2013;;;;9;8;28/01/2011;16/09/2011;24;6,5;22;1;0,5
11;EBBR;40;LJ;02;3;260;330;01/09/2013;01/01/2099;;;;6;7;13/01/2013;26/08/2013;18;6,5;22;1;0,5
11;EBBR;100;LJ;02;3;260;330;01/09/2013;01/01/2099;;;;9;13;13/01/2013;26/08/2013;18;6,5;22;1;0,5
10;EBBR;100;LJ;02;3;260;330;01/01/2011;01/09/2013;;;;4;15;04/03/2011;04/05/2011;8;6,5;22;1;0,5
11;EBBR;100;LJ;02;4;330;60;01/09/2013;01/01/2099;;;;2;15;20/02/2013;09/06/2013;5;6,5;22;1;0,5
11;EBBR;40;LJ;02;4;330;60;01/09/2013;01/01/2099;;;;3;8;20/02/2013;09/06/2013;6;6,5;22;1;0,5
10;EBBR;100;LJ;02;4;330;60;01/01/2011;01/09/2013;;;;5;18;20/02/2011;15/10/2011;12;6,5;22;1;0,5
10;EBBR;40;LJ;02;4;330;60;01/01/2011;01/09/2013;;;;4;11;17/02/2011;15/10/2011;14;6,5;22;1;0,5
11;EBBR;100;LJ;07L;1;60;150;01/09/2013;01/01/2099;;;;4;15;22/02/2013;02/10/2013;9;6,5;22;1;0,5
10;EBBR;100;LJ;07L;1;60;150;01/01/2011;01/09/2013;;;;3;18;03/06/2011;24/10/2011;3;6,5;22;1;0,5
10;EBBR;40;LJ;07L;1;60;150;01/01/2011;01/09/2013;;;;0;13;24/10/2011;24/10/2011;2;6,5;22;1;0,5
11;EBBR;40;LJ;07L;1;60;150;01/09/2013;01/01/2099;;;;5;9;22/02/2013;02/10/2013;9;6,5;22;1;0,5
11;EBBR;40;LJ;07L;2;150;260;01/09/2013;01/01/2099;;;;1;8;20/12/2012;20/12/2012;1;6,5;22;1;0,5
11;EBBR;100;LJ;07L;2;150;260;01/09/2013;01/01/2099;;;;0;14;20/12/2012;10/02/2013;2;6,5;22;1;0,5
10;EBBR;40;LJ;07L;2;150;260;01/01/2011;01/09/2013;;;;1;10;03/06/2011;03/06/2011;1;6,5;22;1;0,5
11;EBBR;100;LJ;07L;3;260;330;01/09/2013;01/01/2099;;;;0;21;02/10/2013;02/10/2013;1;6,5;22;1;0,5
11;EBBR;40;LJ;07L;3;260;330;01/09/2013;01/01/2099;;;;0;8;10/02/2013;02/10/2013;2;6,5;22;1;0,5
11;EBBR;40;LJ;07L;4;330;60;01/09/2013;01/01/2099;;;;1;9;22/03/2013;03/10/2013;3;6,5;22;1;0,5
11;EBBR;100;LJ;07L;4;330;60;01/09/2013;01/01/2099;;;;1;15;22/03/2013;22/03/2013;2;6,5;22;1;0,5
11;EBBR;100;LJ;19;1;60;150;01/09/2013;01/01/2099;;;;1;12;22/10/2013;22/10/2013;1;6,5;22;1;0,5
11;EBBR;40;LJ;19;1;60;150;01/09/2013;01/01/2099;;;;1;7;22/10/2013;22/10/2013;1;6,5;22;1;0,5
11;EBBR;100;LJ;19;2;150;260;01/09/2013;01/01/2099;;;;0;15;13/10/2013;13/10/2013;1;6,5;22;1;0,5
11;EBBR;40;LJ;19;2;150;260;01/09/2013;01/01/2099;;;;0;10;13/10/2013;13/10/2013;1;6,5;22;1;0,5
11;EBBR;40;LJ;19;3;260;330;01/09/2013;01/01/2099;;;;1;8;01/10/2013;13/10/2013;2;6,5;22;1;0,5
11;EBBR;100;LJ;19;3;260;330;01/09/2013;01/01/2099;;;;1;14;01/10/2013;13/10/2013;2;6,5;22;1;0,5
10;EBBR;100;LJ;20;1;60;150;01/01/2011;01/09/2013;;;;2;16;15/02/2011;13/12/2011;6;6,5;22;1;0,5
11;EBBR;100;LJ;20;1;60;150;01/09/2013;01/01/2099;;;;12;14;26/11/2012;15/09/2013;21;6,5;22;1;0,5
10;EBBR;40;LJ;20;1;60;150;01/01/2011;01/09/2013;;;;3;9;15/02/2011;13/12/2011;6;6,5;22;1;0,5
11;EBBR;40;LJ;20;1;60;150;01/09/2013;01/01/2099;;;;12;8;26/11/2012;15/09/2013;21;6,5;22;1;0,5
