Aircraft type;WTC;Turboprop;ENGINE_TYPE;COMMENT
F27;M;TRUE;T;
F2TH;M;FALSE;J;
F4;M;FALSE;J;
F5;M;FALSE;J;
F50;M;TRUE;T;
F70;M;FALSE;J;
F900;M;FALSE;J;
FA10;M;FALSE;J;
FA20;M;FALSE;J;
FA50;M;FALSE;J;
FA7X;M;FALSE;J;
FA900;M;FALSE;;
FK27;M;TRUE;T;
FK28;M;FALSE;;
FK50;M;TRUE;T;
G150;M;FALSE;J;
G159;M;TRUE;T;
G280;M;FALSE;J;
G4;M;FALSE;J;
G450;M;FALSE;J;
G5;M;FALSE;J;
G550;M;FALSE;J;
GA8;L;FALSE;P;
GALX;M;FALSE;J;
GFL5;M;FALSE;J;
GL5T;M;FALSE;J;
GL6T;M;FALSE;J;
GLEX;M;FALSE;J;
GLF3;M;FALSE;J;
GLF4;M;FALSE;J;
GLF5;M;FALSE;J;
GLF6;M;FALSE;J;
GLFA;M;;;
GLST;M;FALSE;P;
GULF;M;;J;
H25B;M;FALSE;J;
H25C;M;FALSE;J;
H60;M;FALSE;T;
H748;M;TRUE;T;
H900;M;FALSE;J;
HA4T;M;FALSE;J;
HAWK;M;;J;
HS04;L;;;
HS21;M;;;
HS25A;M;;;
HS82;L;;;
HUNT;L;;J;
IL62;M;FALSE;J;
IL76;H;FALSE;J;
IL86;H;FALSE;J;
IL96;H;FALSE;J;
J328;M;FALSE;J;
JS31;L;TRUE;T;
JS32;M;TRUE;T;
JS41;M;TRUE;T;
JET;M;;T;
K135;H;FALSE;J;
K35R;H;FALSE;J;
K50;M;;J;
KA35;M;FALSE;;
KC35;H;FALSE;J;
KC97;M;FALSE;;
KT1B;L;TRUE;T;
L101;H;TRUE;J;
L188;M;TRUE;T;
LJ23;L;FALSE;J;
LJ24;M;FALSE;J;
LJ25;M;FALSE;J;
LJ28;M;FALSE;J;
LJ29;M;FALSE;J;
LJ31;M;FALSE;J;
LJ35;M;FALSE;J;
LJ36;M;FALSE;J;
LJ40;M;FALSE;J;
LJ45;M;FALSE;J;
LJ54;M;FALSE;J;
LJ55;M;FALSE;J;
LJ60;M;FALSE;J;
LJ70;M;FALSE;J;
LJ75;M;FALSE;J;
LR60;M;FALSE;J;
LTNG;M;;J;
MCR1;L;FALSE;P;
MCR4;L;FALSE;P;
