flight_id,timestamp,longitude,latitude,altitude,distance_flown,distance_arp,sequence_number,type,holding_id,bearing,quadrant,callsign,aircraft_reg,aircraft_type,aircraft_address,adep,ades
c28401f9-4075-4335-b9da-95f8b2ddcbe6,2017-08-05T03:20:37Z,0.5578280553266861,51.66209993399871,9081.36079167694,1044.38496932264,39.73352705717012,1,P40,NA,254.19290935613458,III,BAW32,NA,NA,0x406EC7,VHHH,EGLL
24358ef6-8bb9-4f57-bc1a-e4669fd2cf37,2017-08-05T03:53:14Z,-0.8075985751348014,50.84852779719338,14238.57905569543,1054.3044327895368,39.98242138555146,1,P40,NA,18.958742292272746,I,BAW74,GVIIF,B772,0x4005BE,DNMM,EGLL
4a7aaa76-2ac8-4e05-8e9c-da346ab5649f,2017-08-05T03:53:57Z,-1.0902157984135743,52.01507292685494,15089.628580666973,594.5754624745235,39.91253955874494,1,P40,NA,143.7662600863281,II,UAL958,N655UA,B763,0xA8A110,KORD,EGLL
2d4bd356-49b6-4ddf-b8b7-a16e2eea9e8e,2017-08-05T03:55:23Z,0.45324864215477234,51.815764198732616,12408.71597605373,1771.7002040640145,39.7660407947607,1,P40,NA,239.62726757610739,III,VIR207,GVOWS,B789,0x406E11,VHHH,EGLL
e9252542-deb1-4c70-8561-3b85bc0bae02,2017-08-05T04:05:40Z,0.4003754636970168,51.090921259512484,9580.028782258292,1215.460545410877,39.9128869807516,1,P40,NA,305.91474356432656,IV,BAW56,GXLED,A388,0x406A03,FAJS,EGLL
6fb120b6-3ab8-43fb-bc7b-2b9f664e2221,2017-08-05T04:08:19Z,0.5726191879899496,51.62153312718336,9936.012608182698,1049.2888042909863,39.68042830329343,1,P40,NA,257.8101154532789,III,BAW28,NA,NA,0x406947,VHHH,EGLL
0ffbc9e6-90b0-4925-a5e2-02c1eb57909d,2017-08-05T04:14:27Z,0.48947660189903347,51.77431876041726,10337.486365396748,1036.5321502594818,39.772974200606306,1,P40,NA,243.73668837230545,III,CPA251,NA,NA,0x780213,VHHH,EGLL
3ba03453-8949-4544-b2f4-4eee5952a0e8,2017-08-05T04:18:55Z,0.5799394230994039,51.614903418329945,11129.110477748556,1401.2310982054632,39.86644741389398,1,P40,NA,258.4584076643637,III,BAW34,NA,NA,0x406D7B,WMKK,EGLL
dec82efd-787f-446f-bcf9-7e5b01d1960b,2017-08-05T04:35:11Z,-1.4825793872184858,51.666242944010754,14000,560.4640587356266,39.876858282409444,1,P40,NA,106.11905803327011,II,BAW9E,GZZZB,B772,0x40058B,KEWR,EGLL
e9a708d0-884d-4ed7-8ad3-fd508bbb5d09,2017-08-05T04:35:46Z,-1.508755130724736,51.36419913775715,13980.67840737318,600.0781934723743,39.92502478717159,1,P40,NA,79.77525666885424,I,DAL16,N1604R,B763,0xA0F4A2,KDTW,EGLL
3aee4171-4cd8-4182-a7c8-c02facc66800,2017-08-05T04:35:59Z,0.5940845511493646,51.57424995286392,11084.210018708802,2010.2974028169233,39.974781527530425,1,P40,NA,262.0531696094791,III,BAW64M,GCIVN,B744,0x40068F,HKJK,EGLL
8cd0384e-1e7d-4c3c-b772-6e84b7e616ed,2017-08-05T04:36:18Z,-1.0450449271546658,50.924682667039406,14221.30684559061,1050.528727859167,39.85045590730933,1,P40,NA,33.33143426800609,I,BAW78,GCIVO,B744,0x400690,DGAA,EGLL
d0981b4a-366b-45d3-8ccd-883f48b23775,2017-08-05T04:39:07Z,-1.5202316642602658,51.44360167273429,14072.93046292373,566.2883317567076,39.789329067133515,1,P40,NA,86.65231390784709,I,BAW6W,GCIVI,B744,0x4005E2,KIAD,EGLL
bef33f91-4927-4cec-899a-1c7bba4d9c15,2017-08-05T04:39:22Z,0.4036789605448179,51.093178074389165,14965.277719461335,1239.685682492597,39.93499091124932,1,P40,NA,305.65462894948257,IV,VIR602,GVFAN,B789,0x406ECC,FAJS,EGLL
677105b9-4f99-42f7-a882-4606cf5f5635,2017-08-05T04:43:57Z,0.5518061941811416,51.67880061075746,12428.211576979891,1393.5699271680585,39.80367348655152,1,P40,NA,252.71027373336267,III,BAW124,NA,NA,0x4006C0,OBBI,EGLL
19a26d30-cd54-457c-8127-207c2890a877,2017-08-05T04:46:18Z,-1.4902849543726764,51.65645416157413,14000,555.872750316393,39.99540228936948,1,P40,NA,105.18919073126943,II,AAL100,N722AN,B77W,0xA9AB07,KJFK,EGLL
4dda8afd-76e6-408d-b09f-c66e9d4e2046,2017-08-05T04:47:11Z,0.554005239550782,51.67897547639273,13227.363123578058,1396.9679907812583,39.88521713523518,1,P40,NA,252.7326515157991,III,BAW72,NA,NA,0x406F7A,OMAA,EGLL
af46134c-38e8-4fa5-9ba9-42e3ed27b231,2017-08-05T04:48:26Z,0.5680064006059622,51.32138396446694,14000,1392.5671282390902,39.8001911960095,1,P40,NA,284.0309449351176,IV,RBA97,NA,NA,0x89505A,OMDB,EGLL
bcf276aa-efa1-4cc2-8b26-2063b7d2059e,2017-08-05T04:48:56Z,0.39794978050411733,51.094593223083955,15005.277258071144,1166.3093434691218,39.709385031651244,1,P40,NA,305.7327615773558,IV,SAA234,ZSSXW,A332,0x00B205,FAJS,EGLL
1170789a-c634-4423-a710-ed6538831bae,2017-08-05T04:52:09Z,-1.0578520027703426,50.93079049240517,15287.125455392745,444.849617546485,39.815657336947496,1,P40,NA,34.1961394045407,I,BAW244,NA,NA,0x4007F1,SAEZ,EGLL
0fa44bb9-debc-43e1-8485-d96a8df5e1c4,2017-08-05T04:52:11Z,-1.0565379246192228,50.92972068472166,15029.664420712375,1608.045065523035,39.84084822435675,1,P40,NA,34.085888323534675,I,BAW244,GYMMF,B772,0x4007F1,SAEZ,EGLL
f0a89fde-6d76-49af-8ac2-fef4ccf45265,2017-08-05T04:52:19Z,-1.484354171180144,51.64672751420474,13621.644713581378,560.1889223119042,39.63161634203051,1,P40,NA,104.46255790919986,II,BAW40F,GCIVF,B744,0x4005A5,KJFK,EGLL
e92b711d-a3a3-4193-bbb0-ee351395fa60,2017-08-05T04:53:00Z,0.5808418421675404,51.34149182705289,14000,2043.1212987883841,39.99662100267366,1,P40,NA,282.19418766901765,IV,SIA322,NA,NA,0x76CD66,WSSS,EGLL
