flight_id,callsign,aircraft_reg,aircraft_type,aircraft_address,adep,ades,ssr_codes,period_start,period_finish,source_ids
002e99d7-a6f2-449d-aab6-3d1887a6c85d,ABR424,NA,NA,0x4CA83F,LDDU,EIDW,['0305'],2017-08-02T09:49:06Z,2017-08-02T12:58:37Z,[308225]
00554010-fa19-4f25-9593-020bf647ef03,EIN605P,EIDER,A320,0x4CA2CB,EHAM,EIDW,['0000' '6267'],2017-08-02T11:58:45Z,2017-08-02T13:30:32Z,['0xe52e739' 298509]
00a3de37-43e6-46dd-8834-38a92218ea6b,EIN429,EICVC,A320,0x4CA15C,LIRP,EIDW,['0000' '0466' '5720' '3116'],2017-08-02T08:27:51Z,2017-08-02T12:18:10Z,['0xe5276d0' 302521]
01a69d5d-3c0f-4499-abc1-77226464b6fa,IBS3792,NA,NA,0x343695,LEMD,EIDW,['5372'],2017-08-02T07:21:03Z,2017-08-02T09:32:22Z,[295218]
03766e93-1b5e-4b52-b86e-778892ea1506,EIN13W,EIEAV,A333,0x4CA74E,KBOS,EIDW,['5410' '0000'],2017-08-02T02:46:56Z,2017-08-02T03:43:02Z,[296779 '0xe513de9']
03c85f94-a7ea-4954-bad2-7da1ad2feba7,RYR854H,EIDPT,B738,0x4CA4F7,EPMO,EIDW,['0000' '2020'],2017-08-02T12:05:35Z,2017-08-02T15:11:51Z,['0xe52ebfd' 305448]
03cff122-fdae-4165-9cf2-2210a411e7f8,ETH505,ETAOS,B788,0x040049,KLAX,EIDW,['0000' '2000' '5417'],2017-08-02T15:21:06Z,2017-08-02T17:29:53Z,['0xe525f8d']
0555c9fc-b8c9-4c12-9085-bb08cef3f82f,UAE161,A6ENX,B77W,0x89631A,OMDB,EIDW,['0570' '0000' '3272' '2232'],2017-08-02T04:16:09Z,2017-08-02T11:09:35Z,['0xe519adb' 302913]
05f6b700-f2bb-4cbd-98dc-efb65a4d7eb9,EIN43P,EIDEI,A320,0x4CA281,LIMC,EIDW,['0000' '0442' '5772' '2712'],2017-08-02T21:29:10Z,2017-08-02T23:53:48Z,['0xe548d92' 316976]
076488ab-05a3-4c6b-93c5-e3aa226d0553,EIN42K,EIGAM,A320,0x4CA837,LIPZ,EIDW,['0000' '0305' '0227' '2742'],2017-08-02T10:22:20Z,2017-08-02T12:55:22Z,['0xe52ad4c']
08ed0a78-dab1-4f92-9b19-e6479524640c,DLH3XN,DAIDW,A321,0x3C6497,EDDM,EIDW,['0000' '6672' '7637' '2025' '2051'],2017-08-02T06:38:11Z,2017-08-02T09:10:57Z,['0xe524820' 294788]
09444c85-9a9f-422b-8aed-269e46e35c2b,EIWFI,NA,NA,NA,EINN,EIDW,['5415'],2017-08-02T14:11:15Z,2017-08-02T14:48:10Z,[300618]
0a194d31-77f9-4537-b35e-aec3a0d10b38,RYR77MW,EIFIA,B738,0x4CA34A,LEAL,EIDW,['5522'],2017-08-02T10:35:24Z,2017-08-02T13:09:14Z,[305923 '0xe52ab63']
0a6490bd-2a54-4032-b1f7-8235a28dd90d,EIN4EN,EIFNH,A333,0x4CA615,LPFR,EIDW,['5413' '2000' '5454' '6322'],2017-08-02T10:18:55Z,2017-08-02T13:25:04Z,['0xe52aaf6' 299362]
0a6e13c8-7c32-4242-b077-0b1602c0d0b4,EIN665,EIEDP,A320,0x4CA76F,LOWW,EIDW,['0000' '2224' '0751' '1054' '7463' '2033' '3425'],2017-08-02T14:54:12Z,2017-08-02T17:47:56Z,['0xe537048' 307394]
0b69bc77-9ab9-447a-8123-9c6e9fdb9599,RYR34NK,EIDAK,B738,0x4CA1C2,EDJA,EIDW,['0000' '6675' '6355'],2017-08-02T12:20:20Z,2017-08-02T14:32:45Z,['0xe52f498']
0bf3eec5-b506-4a2f-939e-779837b47e44,EIN33J,NA,NA,0x4CA935,EDDT,EIDW,['1331'],2017-08-02T09:19:08Z,2017-08-02T11:30:27Z,[303541]
0c246366-7682-4f49-a0f8-83d20f8c90d5,CFE73L,GLCYI,E170,0x4061E7,EGLC,EIDW,['3130'],2017-08-02T08:57:30Z,2017-08-02T10:10:47Z,[293177 '0xe528474']
0c9073e7-1b1f-484b-a045-9eb8e560d7cb,EIN359K,EIDVG,A320,0x4CA63A,EDDS,EIDW,['0000' '0635' '3151' '1065'],2017-08-02T15:05:05Z,2017-08-02T17:15:33Z,['0xe537549' 301704]
