flight_id,callsign,aircraft_reg,aircraft_type,aircraft_address,adep,ades,ssr_codes,period_start,period_finish,source_ids
00bc7d7c-3b92-4526-9d09-4a68faa86bfd,NAX4467,LNNIC,B738,0x479587,ESSA,EIDW,['1420'],2017-08-04T05:51:38Z,2017-08-04T08:20:30Z,['0xe58c8d9' 354788]
00d095e9-85c0-48e9-a074-91a5c2a392c5,FIN1XT,NA,NA,0x461E14,EFHK,EIDW,['1402'],2017-08-04T05:23:10Z,2017-08-04T08:16:42Z,[365866]
013884a7-936f-467b-842c-ac8858d1495f,RYR5FM,EIFIM,B738,0x4CA53E,LEPA,EIDW,['0000' '5541' '7707' '5465'],2017-08-04T14:20:15Z,2017-08-04T17:13:55Z,['0xe59e4a9' 389119]
02bc3616-5559-4471-aa23-bf9a0fd71850,EIN35Y,EIDVM,A320,0x4CA92D,EDDM,EIDW,['6650' '4710' '2117'],2017-08-04T09:24:27Z,2017-08-04T12:14:03Z,['0xe592a33' 374475]
0321241f-171e-40ec-8b97-46d7e85e0c94,EIN4EN,EIEAV,A333,0x4CA74E,LPFR,EIDW,['0000' '5465' '5415'],2017-08-04T11:53:36Z,2017-08-04T14:39:30Z,['0xe597942' 369547]
03947feb-a94d-4541-b856-8ca9c4b20c45,EIN179,EICVC,A320,0x4CA15C,EGLL,EIDW,['0000' '3176' '2537'],2017-08-04T19:31:17Z,2017-08-04T20:47:44Z,['0xe5adbac' 383553]
042b814c-8923-452b-93b6-853e9752565f,WOW852,TFPRO,A321,0x4CC504,BIKF,EIDW,['0000' '2167' '2000' '5427'],2017-08-04T07:17:40Z,2017-08-04T09:46:22Z,['0xe58f0a6' 373831]
0736abda-41c4-4793-9b93-37a2e46a891a,EIN13W,EIEDY,A333,0x4CA782,KBOS,EIDW,['0000' '5401'],2017-08-04T02:53:22Z,2017-08-04T03:54:54Z,['0xe57d6dd' 365478]
0798f027-d9b7-47e0-9c39-a845f6fd5bbe,RYR3HE,EIESP,B738,0x4CA96F,EGSS,EIDW,['7733'],2017-08-04T16:46:38Z,2017-08-04T17:56:38Z,[384996 '0xe5a5b2b']
090c7562-1cbc-4688-a446-165e6cea2733,IBK1822,LNNHA,B738,0x47A039,KPVD,EIDW,['0000' '2000' '5433'],2017-08-04T05:54:01Z,2017-08-04T06:57:30Z,['0xe584136' 368859]
09a46cd7-5c10-4c7d-8c32-0685fffe4906,ROU1928,CFMWY,B763,0xC02205,CYYZ,EIDW,['5416' '0000'],2017-08-04T04:26:51Z,2017-08-04T05:35:03Z,[367334 '0xe57fe4d']
