flight_id,timestamp,longitude,latitude,altitude,distance_flown,distance_arp,sequence_number,type,holding_id,bearing,quadrant,callsign,aircraft_reg,aircraft_type,aircraft_address,adep,ades
cf701ef1-50f3-412e-b2af-d451b8449f95,2017-08-01T03:26:15Z,0.5147706459838374,51.22399976672044,11171.305750662825,2104.588563113251,39.75058952218413,1,P40,NA,292.9063131143041,IV,BAW16,NA,NA,0x40621D,WSSS,EGLL
31663df6-7cdf-48a2-8793-7bbd0067d3a4,2017-08-01T03:37:24Z,-0.8666065584692919,50.862975064767966,14490.973820449344,1098.0556524091405,39.96197954504513,1,P40,NA,22.361296835269854,I,BAW74,GVIIK,B772,0x400683,DNMM,EGLL
6139054d-7b9e-4b08-8b93-863896bdf32f,2017-08-01T03:45:10Z,0.5446852208252347,51.68759203683073,11037.840713968335,1044.0900236968455,39.71104438017736,1,P40,NA,251.86305405270832,III,VIR207,NA,NA,0x407131,VHHH,EGLL
0b16b0f0-52a7-4d7b-b46a-b234aae19439,2017-08-01T03:47:10Z,0.4403408506668381,51.13658562871601,11702.711829421885,1399.809504382991,39.64884454413245,1,P40,NA,301.450290901191,IV,BAW34,NA,NA,0x406F79,WMKK,EGLL
1bb47b3a-206e-4e52-8ffa-22accabb5b8a,2017-08-01T04:03:11Z,0.4076335394874284,51.09886708542687,13692.579063056794,1289.9629545927176,39.858994808400695,1,P40,NA,305.1332366685643,IV,BAW56,GXLEH,A388,0x406B21,FAJS,EGLL
b0a3a338-0f8b-4d13-aa29-cd857470abc5,2017-08-01T04:03:33Z,0.5371042118432753,51.7144338089008,13601.724160119207,1051.9167682127518,39.97702188828561,1,P40,NA,249.53401076911334,III,BAW28,NA,NA,0x406590,VHHH,EGLL
c229a80b-4c45-44f1-b1d7-23b1cadcc81c,2017-08-01T04:06:48Z,0.5521962841327347,51.6805415192238,12339.04279080074,1398.2907758764857,39.84878195346718,1,P40,NA,252.57322748167823,III,MAS2,NA,NA,0x750291,WMKK,EGLL
0c4a950f-3987-4ceb-925c-d8565661eff0,2017-08-01T04:08:28Z,0.4039323637610235,51.093313598647676,10131.649301914644,1568.7921636613792,39.93803617980346,1,P40,NA,305.6373211894443,IV,BAW262,NA,NA,0x4006AF,OERK,EGLL
8e0ea344-fd11-4a85-bc2c-07aa49793e84,2017-08-01T04:19:29Z,0.4248089744491835,51.11881991242229,12348.547425104454,1984.0015940382718,39.72332424046702,1,P40,NA,303.1933977727657,IV,BAW64M,GBNLP,B744,0x40040F,HKJK,EGLL
cf8b1b58-c8ce-42f0-b60f-3165e52e27bf,2017-08-01T04:20:08Z,-1.5102743811094093,51.36317621331346,11000,564.2535194179595,39.99219152037249,1,P40,NA,79.70196414672796,I,AAL100,N719AN,B77W,0xA99D89,KJFK,EGLL
e79a90a0-ac08-4c86-9e2e-596b1992a10c,2017-08-01T04:21:07Z,-1.4933062644162798,51.63601568112818,13765.339256469844,546.4418999331476,39.80123004882456,1,P40,NA,103.43821524057637,II,BAW6W,GCIVA,B744,0x40054D,KIAD,EGLL
e9946531-1f85-4033-b100-a62e8697f3b8,2017-08-01T04:23:39Z,0.5367633818497282,51.6976210795606,12660.50752574008,1046.8498572981969,39.6231304572942,1,P40,NA,250.8957391990332,III,CPA251,NA,NA,0x780214,VHHH,EGLL
25c0424c-3f71-46cd-9a1e-8b2870a68716,2017-08-01T04:25:51Z,-1.5091149230489223,51.36422922244647,13945.127533635128,573.7374985885227,39.93801972995787,1,P40,NA,79.78097261655307,I,BAW9E,GVIIC,B772,0x4005BB,KEWR,EGLL
