flight_id,timestamp,longitude,latitude,altitude,distance_flown,distance_arp,sequence_number,type,holding_id,bearing,quadrant,callsign,aircraft_reg,aircraft_type,aircraft_address,adep,ades
7f501158-3b60-4492-852c-a179a8b1a4a4,2017-08-03T00:43:11Z,-5.2156156419628354,53.626131903906774,17000,141.38275448765367,39.71329032617125,1,P40,NA,252.37105189392477,III,AEG302,ESLSH,SF34,0x5110C8,EGBB,EIDW
5d162a1f-cb0a-4e2f-a08b-67f53de0f12e,2017-08-03T00:43:36Z,-5.181727316995818,53.554315387911984,15401.283720024216,138.0713436864162,39.81491894692722,1,P40,NA,258.8589368562208,III,AEG302,NA,NA,0x5110C8,EGBB,EIDW
578b244d-9dca-4254-9129-b3af4e150474,2017-08-03T01:01:17Z,-5.164412611640327,53.49996751576359,11630.035922167603,136.9088106750656,39.93117344412613,1,P40,NA,263.6480844031385,III,IMX358,NA,NA,0x4B012E,EGBB,EIDW
db75b776-91b4-45ba-8daf-d4b0ec087f11,2017-08-03T01:01:35Z,-5.162829022129331,53.49972048864118,11606.422463420029,135.47481306517318,39.98593033515259,1,P40,NA,263.67949124102535,III,IMX358,HBALQ,AT72,0x4B012E,EGBB,EIDW
352ac42b-eeeb-4568-8f4d-c6fd13f7592c,2017-08-03T03:36:28Z,-7.348413875286189,53.27551512956965,10375.69684876499,356.0845190338137,39.75565161412537,1,P40,NA,76.83455953972737,I,EIN118,EILBS,B752,0x4CAAFA,KIAD,EIDW
89a4e0c0-58b4-4c5a-8b27-8861e3019cea,2017-08-03T03:41:56Z,-5.174720000000182,53.547780000000174,20099.999999994652,472.0362456474593,39.987456262405495,1,P40,NA,259.48611581995044,III,TAY029V,TFBBJ,B734,0x4CC0DF,EBLG,EIDW
dec2e41c-cf32-4330-b3eb-987f6305cada,2017-08-03T03:52:15Z,-5.402914574266253,53.01020569839299,9243.11452329587,489.2417191189957,39.85608097558933,1,P40,NA,308.6525081276658,IV,SRR6528,OYSRN,B762,0x45CE4E,EDDK,EIDW
d209ff68-d0f6-479d-967d-09e66e7ff61f,2017-08-03T03:55:47Z,-7.17521011159481,53.04219413521145,14444.912383456909,343.86970427566945,39.8037799222529,1,P40,NA,54.72147847823169,I,EIN1KP,EIEDY,A333,0x4CA782,KJFK,EIDW
6b74290e-319e-4c56-94a4-7ae55dd4362e,2017-08-03T04:06:02Z,-7.309279287129048,53.204418034816136,14471.615776114757,335.41800832957307,39.608116830543246,1,P40,NA,70.36978032573643,I,EIN1TC,EIEWR,A332,0x4CA139,KEWR,EIDW
dcf4786a-3495-4dc5-bdc1-b6979699ee0c,2017-08-03T04:10:18Z,-7.327302895189922,53.63111233900638,12425.814333800146,335.72224260429687,39.904097625310975,1,P40,NA,107.99082516946385,II,EIN13R,EILBR,B752,0x4CAAF9,KBDL,EIDW
